,2015,2016,2017
01030845,,49.0,
01030900,,41.0,
01030915,,36.0,
01030930,,37.0,
01030945,,31.0,
01031000,,33.0,
01031015,,35.0,
01031030,,35.0,
01031045,,35.0,
01031100,,36.0,
01031115,,35.0,
01031130,,33.0,
01031330,,35.0,
01031345,,36.0,
01031400,,33.0,
01031415,,33.0,
01031430,,33.0,
01031445,,34.0,
01031500,,30.0,
01040845,,,
01040900,-7.0,36.0,
01040915,-11.0,32.0,
01040930,-11.0,33.0,
01040945,-15.0,32.0,
01041000,-11.0,34.0,
01041015,-11.0,40.0,
01041030,-10.0,38.0,
01041045,-13.0,37.0,
01041100,-13.0,39.0,
01041115,-13.0,45.0,
01041130,-16.0,46.0,
01041330,-18.0,49.0,
01041345,-13.0,46.0,
01041400,-11.0,47.0,
01041415,-14.0,47.0,
01041430,-15.0,46.0,
01041445,-14.0,50.0,
01041500,-14.0,49.0,
01042100,,34.0,
01042115,,31.0,
01042130,,31.0,
01042145,,32.0,
01042200,,35.0,
01042215,,34.0,
01042230,,34.0,
01042245,,32.0,
01042300,,35.0,
01050000,-11.0,,
01050015,-12.0,,
01050030,-12.0,,
01050045,-12.0,,
01050100,-13.0,,
01050900,-11.0,47.0,
01050915,-14.0,49.0,
01050930,-16.0,49.0,
01050945,-11.0,49.0,
01051000,-10.0,47.0,
01051015,-11.0,50.0,
01051030,-11.0,50.0,
01051045,-12.0,49.0,
01051100,-11.0,53.0,
01051115,-10.0,53.0,
01051130,-9.0,54.0,
01051330,-11.0,53.0,
01051345,-11.0,53.0,
01051400,-9.0,53.0,
01051415,-9.0,51.0,
01051430,-8.0,51.0,
01051445,-8.0,49.0,
01051500,-7.0,46.0,
01052100,-12.0,47.0,
01052115,-13.0,44.0,
01052130,-14.0,47.0,
01052145,-14.0,47.0,
01052200,-15.0,47.0,
01052215,-15.0,45.0,
01052230,-15.0,42.0,
01052245,-13.0,42.0,
01052300,-12.0,46.0,
01052315,-11.0,,
01052330,-10.0,,
01052345,-11.0,,
01060000,-9.0,,
01060015,-10.0,,
01060030,-10.0,,
01060045,-11.0,,
01060100,-8.0,,
01060900,-8.0,50.0,
01060915,-8.0,52.0,
01060930,-7.0,53.0,
01060945,-9.0,53.0,
01061000,-9.0,52.0,
01061015,-7.0,52.0,
01061030,-7.0,52.0,
01061045,-7.0,51.0,
01061100,-7.0,53.0,
01061115,-6.0,52.0,
01061130,-8.0,47.0,
01061330,-7.0,48.0,
01061345,-5.0,53.0,
01061400,-6.0,51.0,
01061415,-8.0,54.0,
