bid_spread, ask_spread, long_bid_spread, short_ma_bid_spread, long_ask_spread, short_ma_ask_spread, std
70.0,55.0,70.375,73.2509579901,69.4166666667,72.951973746,5.77936343092
60.0,55.0,70.451446281,73.3637994101,69.508953168,73.0841044721,5.79451368873
70.0,70.0,70.443984359,73.1467800933,69.5170696446,72.88512999,5.71547606649
70.0,70.0,70.5192904026,73.2663426679,69.6076965926,73.0215732165,5.72988631844
60.0,55.0,70.6759963464,73.7007721732,69.6968255746,73.1492136541,5.79376460804
70.0,75.0,70.8301121093,74.1071739685,69.8671259783,73.59119987,5.77335233831
75.0,75.0,70.8990358761,74.1647756479,69.9519668712,73.682090201,5.78551831924
70.0,75.0,70.966820407,74.21866109,69.9527608072,73.4445359944,5.78551831924
85.0,85.0,71.0334845325,74.2690700519,69.9535416203,73.2223078658,5.79735931265
70.0,70.0,71.0164021436,73.9936461776,69.9543095274,73.0144170357,5.65132727773
75.0,75.0,71.0822467362,74.0585722307,70.03770937,73.1425191624,5.66406190134
60.0,60.0,71.1470029885,74.1193095061,70.1197307027,73.2623566358,5.66406190134
70.0,65.0,71.2106888895,74.1761282477,70.2003963109,73.3744626593,5.58954877924
70.0,60.0,71.3559667591,74.5518619091,70.3623732314,73.8019166813,5.64948375223
65.0,55.0,71.4161987135,74.580774044,70.4390282193,73.8792123793,5.66038254498
70.0,60.0,71.5580797265,74.930401525,70.5970608107,74.2741019032,5.69112369299
70.0,75.0,71.6149709707,74.9348917492,70.6698366651,74.3209340385,5.70072485644
65.0,55.0,71.6709218638,74.9390922815,70.7414096128,74.3647447457,5.71000583771
65.0,65.0,71.7259479487,74.9430218118,70.8117995365,74.4057289556,5.69112369299
80.0,75.0,71.7800645115,74.9466978239,70.8810259905,74.444069023,5.67095426028
75.0,75.0,71.8332865857,74.950136674,70.9491082055,74.4799355377,5.62592584973
70.0,75.0,71.8029843281,74.6307730176,70.9334204666,74.1909074385,5.61743318212
70.0,75.0,71.7731829342,74.3320134681,70.835347401,73.5979456682,5.61743318212
70.0,70.0,71.7438741254,74.0525287282,70.8215400059,73.3658201412,5.61743318212
70.0,70.0,71.7150497597,73.7910752619,70.8906054604,73.4712510999,5.61743318212
70.0,65.0,71.6040572017,73.2239091159,70.7932400809,72.9247187709,5.64564114064
65.0,65.0,71.5775438595,73.0159149794,70.7801286746,72.7360272373,5.64564114064
60.0,65.0,71.4688241263,72.4987591743,70.6019447295,71.9143480607,5.64564114064
60.0,50.0,71.5271906696,72.6601295501,70.674639858,72.1134223793,5.55965126804
70.0,70.0,71.5845924768,72.811088934,70.663488786,71.9770725484,5.46945431972
60.0,55.0,71.5584008656,72.6297283576,70.5698774011,71.5269388356,5.46945431972
65.0,65.0,71.5326421736,72.4600684636,70.4778133118,71.1058460075,5.36821276901
65.0,60.0,71.424664617,71.978773724,70.387270943,70.7119204586,5.36821276901
50.0,50.0,71.3184718134,71.5285302579,70.2982251423,70.3434094613,5.36821276901
55.0,55.0,71.2140342628,71.1073347574,70.2932958011,70.3212540122,5.02701037729
60.0,60.0,71.2766122088,71.3584744505,70.3710925647,70.623108592,4.79510746027
65.0,60.0,71.1728665525,70.9482502924,70.2823141752,70.2603273926,4.71238763497
60.0,60.0,71.2361249566,71.2096534993,70.2776478252,70.2435320769,4.6768861317
65.0,65.0,71.3809823953,71.7767726284,70.3557032331,70.5504009752,4.60053589874
60.0,55.0,71.4408008681,71.9847227814,70.4324684689,70.83747188,4.55959763088
65.0,60.0,71.5822752339,72.5018374407,70.5079648578,71.1060220813,4.47194184766
65.0,65.0,71.6387665524,72.6630092187,70.5822133726,71.3572464631,4.42510985425
70.0,75.0,71.69432413,72.8137828175,70.6552346391,71.5922628204,4.37619031426
80.0,75.0,71.6663187725,72.6322484422,70.7270489426,71.8121168319,4.37619031426
70.0,70.0,71.7214209416,72.7850066072,70.7976762328,72.0177867138,4.32932506929
75.0,75.0,71.775612331,72.9279094067,70.8671361298,72.2101875709,4.3283224233
85.0,85.0,71.8289079949,73.0615926708,70.9354479293,72.3901754696,4.3283224233
75.0,70.0,71.8813227388,73.1866512082,71.0026306082,72.5585512457,4.18309262256
75.0,70.0,72.0155157514,73.626222098,71.0687028295,72.7160640686,4.2319879752
75.0,70.0,72.1474906976,74.0374335755,71.2163275761,73.185995419,4.27991919706
70.0,70.0,72.1946396117,74.0995346352,71.2788676162,73.3030279726,4.27991919706
65.0,60.0,72.323653833,74.48020982,71.3403739366,73.4125100389,4.32511239417
60.0,65.0,72.4505355878,74.8363253155,71.4008636236,73.5149287461,4.317277949
70.0,65.0,72.4926754955,74.8468849725,71.5429981092,73.9333204399,4.1581162268
65.0,60.0,72.6167635038,75.1793440066,71.6001386363,74.002138476,4.19800713302
65.0,65.0,72.6561558426,75.1677734255,71.6563346919,74.0665166388,4.13634802694
65.0,65.0,72.6948970683,75.1569493335,71.711601887,74.1267413718,4.07205073915
65.0,65.0,72.7329979433,75.1468235701,71.7659555749,74.1830806382,4.00498820917
70.0,70.0,72.7704690516,75.1373510817,71.8194108546,74.2357851131,3.93501905967
70.0,75.0,72.7246761747,74.8059090764,71.7893379479,73.9625086542,3.93501905967
