"DateTime","SPGSBRTR.SPI","881001.WI"
2000-01-28,NaN,1160.7866
2000-02-29,NaN,1302.4944
2000-03-31,NaN,1374.5922
2000-04-28,NaN,1392.4219
2000-05-31,NaN,1432.0217
2000-06-30,NaN,1469.6134
2000-07-31,NaN,1531.7493
2000-08-31,NaN,1523.345
2000-09-29,NaN,1454.0651
2000-10-31,NaN,1494.1196
2000-11-30,NaN,1574.306
2000-12-29,NaN,1571.3948
2001-01-19,NaN,1555.5972
2001-02-28,NaN,1462.8701
2001-03-30,NaN,1574.791
2001-04-30,NaN,1567.5632
2001-05-31,NaN,1626.3224
2001-06-29,NaN,1636.0779
2001-07-31,NaN,1414.5154
2001-08-31,NaN,1365.171
2001-09-28,NaN,1292.4841
2001-10-31,NaN,1229.7407
2001-11-30,NaN,1280.0514
2001-12-31,NaN,1195.9655
2002-01-31,NaN,1061.4296
2002-02-28,NaN,1093.0841
2002-03-29,NaN,1167.6301
2002-04-30,NaN,1215.9514
2002-05-31,NaN,1111.3063
2002-06-28,NaN,1259.2721
2002-07-31,NaN,1208.084
2002-08-30,NaN,1216.9929
2002-09-27,NaN,1148.8564
2002-10-31,NaN,1089.3016
2002-11-29,NaN,1016.131
2002-12-31,NaN,960.7834
2003-01-29,NaN,1056.4956
2003-02-28,NaN,1067.067
2003-03-31,NaN,1050.9766
2003-04-30,NaN,1036.5637
2003-05-30,NaN,1082.1107
2003-06-30,NaN,1009.1769
2003-07-31,NaN,992.5798
2003-08-29,NaN,962.6107
2003-09-30,NaN,920.2191
2003-10-31,NaN,881.7914
2003-11-28,NaN,900.5555
2003-12-31,NaN,927.2194
2004-01-30,NaN,998.4836
2004-02-27,NaN,1075.1605
2004-03-31,NaN,1110.2288
2004-04-30,NaN,1003.2291
2004-05-31,NaN,979.1796
2004-06-30,NaN,866.2393
2004-07-30,NaN,858.5112
2004-08-31,NaN,816.6146
2004-09-30,NaN,858.7334
2004-10-29,NaN,809.5546
2004-11-30,NaN,831.8672
2004-12-31,NaN,773.1392
2005-01-31,NaN,722.1686
2005-02-28,NaN,793.1298
2005-03-31,NaN,705.6177
2005-04-29,NaN,680.8918
2005-05-31,NaN,635.5903
2005-06-30,NaN,642.4275
2005-07-29,NaN,626.8582
2005-08-31,NaN,688.3007
2005-09-30,NaN,691.3957
2005-10-31,NaN,653.1937
2005-11-30,NaN,654.5468
2005-12-30,NaN,684.0646
2006-01-25,NaN,744.0108
2006-02-28,NaN,767.4103
2006-03-31,NaN,783.0768
2006-04-28,NaN,869.5721
2006-05-31,NaN,1041.3058
2006-06-30,NaN,1080.6188
2006-07-31,NaN,1022.4216
2006-08-31,NaN,1060.5402
2006-09-29,NaN,1110.8059
2006-10-31,NaN,1135.4869
2006-11-30,NaN,1271.604
2006-12-29,NaN,1449.5112
2007-01-31,NaN,1719.2134
2007-02-28,NaN,1897.1541
2007-03-30,NaN,2124.8176
2007-04-30,NaN,2744.2964
2007-05-31,NaN,3019.6184
2007-06-29,NaN,2754.3779
2007-07-31,NaN,3291.1372
2007-08-31,NaN,3804.9426
2007-09-28,NaN,3988.595
2007-10-31,NaN,3930.7908
2007-11-30,NaN,3359.5952
2007-12-28,NaN,3858.7986
2008-01-31,NaN,3430.9375
2008-02-29,NaN,3548.4241
2008-03-31,NaN,2870.1191
2008-04-30,1715.416,2946.6946
2008-05-30,1889.558,2724.3125
2008-06-30,2073.951,2113.6631
2008-07-31,1837.18,2178.0352
2008-08-29,1681.303,1805.5679
2008-09-26,1433.338,1686.1022
2008-10-31,949.518,1251.954
2008-11-28,760.542,1410.1641
2008-12-31,636.2685,1430.793
2009-01-23,591.7305,1618.8582
2009-02-27,565.7319,1711.6703
2009-03-31,589.7,2026.4078
2009-04-30,591.1327,2126.0664
2009-05-27,742.2451,2241.2397
2009-06-30,776.2525,2500.6418
2009-07-31,794.5924,2907.0378
2009-08-31,766.3349,2290.3669
2009-09-30,751.7255,2406.5757
2009-10-30,809.9924,2631.8694
2009-11-30,836.9839,2855.1345
2009-12-31,820.4386,2939.7869
2010-01-29,745.9495,2687.7942
2010-02-26,800.2117,2771.115
2010-03-31,850.0148,2841.9175
2010-04-30,896.5409,2623.2981
2010-05-31,749.2543,2405.4834
2010-06-30,747.7097,2221.4492
2010-07-30,775.5909,2485.0549
2010-08-31,735.3845,2548.1951
2010-09-30,805.7209,2575.3315
2010-10-29,810.0328,2884.6086
2010-11-30,833.349,2762.1379
2010-12-31,916.4951,2737.5686
2011-01-31,979.6686,2681.9158
2011-02-28,1077.058,2824.3621
2011-03-31,1131.474,2829.7332
2011-04-29,1216.976,2791.1301
2011-05-31,1131.681,2624.0471
2011-06-30,1098.199,2687.1235
2011-07-29,1138.553,2659.6453
2011-08-31,1114.365,2537.5537
2011-09-30,993.9038,2312.2429
2011-10-31,1087.418,2411.9854
2011-11-30,1105.913,2290.1743
2011-12-30,1076.993,2123.853
2012-01-31,1117.834,2192.6951
2012-02-29,1232.112,2348.573
2012-03-30,1242.355,2186.8015
2012-04-27,1217.279,2316.031
2012-05-31,1040.094,2315.0503
2012-06-29,1004.755,2197.4744
2012-07-31,1071.235,2075.749
2012-08-31,1185.207,2025.563
2012-09-28,1164.394,2073.98
2012-10-31,1141.948,2055.02
2012-11-30,1141.948,1932.54
2012-12-31,1166.27,2223.24
2013-01-31,1228.06,2336.44
2013-02-28,1247.27,2366.067
2013-03-29,1192.65,2239.2658
2013-04-26,1110.15,2192.4873
2013-05-31,1092.43,2407.307
2013-06-28,1112.7,2046.2654
2013-07-31,1176.62,2123.2617
2013-08-30,1244.63,2263.4411
2013-09-30,1203.3,2385.7764
2013-10-31,1224.8,2318.8737
2013-11-29,1235.89,2440.4994
2013-12-31,1251.79,2344.197
2014-01-30,1202.08,2316.1153
2014-02-28,1238.33,2336.2127
2014-03-31,1230.8,2270.9917
2014-04-30,1231.14,2253.5585
2014-05-30,1251.07,2287.1972
2014-06-30,1298.61,2357.6363
2014-07-31,1232.87,2559.7216
2014-08-29,1194.89,2632.1693
2014-09-30,1089.81,2886.923
2014-10-31,981.69,2946.7975
2014-11-28,796.28,3212.4723
2014-12-31,650.12,3573.4819
2015-01-30,587.56,3643.7429
2015-02-27,675.07,3871.5947
2015-03-31,592.04,4598.7378
2015-04-30,700.61,5470.8308
2015-05-29,681.64,6293.9139
2015-06-30,655.03,5631.7365
2015-07-31,535.85,4743.5066
2015-08-31,548.95,4015.5468
2015-09-30,481.19,3777.8516
2015-10-30,487.55,4423.9262
2015-11-30,431.06,4698.5424
2015-12-31,353.3,4949.1953
2016-01-29,328.37,3585.3366
2016-02-29,326.6,3489.0276
2016-03-31,354.77,4062.2827
2016-04-29,416.13,3986.7198
2016-05-31,433.98,3968.2447
2016-06-30,428.63,4105.9422
2016-07-29,370.76,4127.5755
2016-08-31,396.4,4322.6367
2016-09-30,420.32,4247.6501
2016-10-31,402.3,4381.6392
2016-11-30,419.31,4554.3166
2016-12-30,453.84,4310.2245
2017-01-26,439.84,4299.3154
2017-02-28,444.62,4435.085
2017-03-31,419.46,4409.2625
2017-04-28,405.34,4279.7679
2017-05-31,392.81,4158.2803
2017-06-30,374.87,4357.9826
2017-07-31,403.26,4428.3127
2017-08-31,405.05,4563.3839
2017-09-29,437.31,4621.7526
2017-10-31,471.65,4672.854
2017-11-30,486.43,4534.9359
2017-12-29,524.14,4522.7222
2018-01-31,544.47,4603.9187
2018-02-28,514.68,4380.6025
2018-03-30,553.56,4376.2499
2018-04-27,601.89,4213.4125
2018-05-31,628.18,4210.9383
2018-06-29,645,3860.3372
2018-07-31,606.14,3872.0117
2018-08-31,632.44,3625.9119
2018-09-28,679.01,3674.7587
2018-10-31,620.19,3338.8365
2018-11-02,602,3468.1867


数据来源：Wind
