"No.","wind_code","trade_code","sec_name","option_mark_code","option_type","call_or_put","exercise_mode","exercise_price","contract_unit","limit_month","listed_date","expire_date","exercise_date","settlement_date","reference_price","settle_mode","contract_state"
1,10000001,510050C1503M02200,50ETF购2015年3月2.20,510050.SH,ETF期权,认购,欧式,2.2,10000,2015-03,2015/2/9,2015/3/25,2015-03-25,2015-03-26,0.1812,实物资产,退市
2,10000002,510050C1503M02250,50ETF购2015年3月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2015-03,2015/2/9,2015/3/25,2015-03-25,2015-03-26,0.1528,实物资产,退市
3,10000003,510050C1503M02300,50ETF购2015年3月2.30,510050.SH,ETF期权,认购,欧式,2.3,10000,2015-03,2015/2/9,2015/3/25,2015-03-25,2015-03-26,0.1276,实物资产,退市
4,10000004,510050C1503M02350,50ETF购2015年3月2.35,510050.SH,ETF期权,认购,欧式,2.35,10000,2015-03,2015/2/9,2015/3/25,2015-03-25,2015-03-26,0.1054,实物资产,退市
5,10000005,510050C1503M02400,50ETF购2015年3月2.40,510050.SH,ETF期权,认购,欧式,2.4,10000,2015-03,2015/2/9,2015/3/25,2015-03-25,2015-03-26,0.0862,实物资产,退市
6,10000006,510050P1503M02200,50ETF沽2015年3月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2015-03,2015/2/9,2015/3/25,2015-03-25,2015-03-26,0.0788,实物资产,退市
7,10000007,510050P1503M02250,50ETF沽2015年3月2.25,510050.SH,ETF期权,认沽,欧式,2.25,10000,2015-03,2015/2/9,2015/3/25,2015-03-25,2015-03-26,0.1001,实物资产,退市
8,10000008,510050P1503M02300,50ETF沽2015年3月2.30,510050.SH,ETF期权,认沽,欧式,2.3,10000,2015-03,2015/2/9,2015/3/25,2015-03-25,2015-03-26,0.1246,实物资产,退市
9,10000009,510050P1503M02350,50ETF沽2015年3月2.35,510050.SH,ETF期权,认沽,欧式,2.35,10000,2015-03,2015/2/9,2015/3/25,2015-03-25,2015-03-26,0.1522,实物资产,退市
10,10000010,510050P1503M02400,50ETF沽2015年3月2.40,510050.SH,ETF期权,认沽,欧式,2.4,10000,2015-03,2015/2/9,2015/3/25,2015-03-25,2015-03-26,0.1828,实物资产,退市
11,10000011,510050C1504M02200,50ETF购2015年4月2.20,510050.SH,ETF期权,认购,欧式,2.2,10000,2015-04,2015/2/9,2015/4/22,2015-04-22,2015-04-23,0.2176,实物资产,退市
12,10000012,510050C1504M02250,50ETF购2015年4月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2015-04,2015/2/9,2015/4/22,2015-04-22,2015-04-23,0.1903,实物资产,退市
13,10000013,510050C1504M02300,50ETF购2015年4月2.30,510050.SH,ETF期权,认购,欧式,2.3,10000,2015-04,2015/2/9,2015/4/22,2015-04-22,2015-04-23,0.1655,实物资产,退市
14,10000014,510050C1504M02350,50ETF购2015年4月2.35,510050.SH,ETF期权,认购,欧式,2.35,10000,2015-04,2015/2/9,2015/4/22,2015-04-22,2015-04-23,0.1431,实物资产,退市
15,10000015,510050C1504M02400,50ETF购2015年4月2.40,510050.SH,ETF期权,认购,欧式,2.4,10000,2015-04,2015/2/9,2015/4/22,2015-04-22,2015-04-23,0.1231,实物资产,退市
16,10000016,510050P1504M02200,50ETF沽2015年4月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2015-04,2015/2/9,2015/4/22,2015-04-22,2015-04-23,0.108,实物资产,退市
17,10000017,510050P1504M02250,50ETF沽2015年4月2.25,510050.SH,ETF期权,认沽,欧式,2.25,10000,2015-04,2015/2/9,2015/4/22,2015-04-22,2015-04-23,0.1303,实物资产,退市
18,10000018,510050P1504M02300,50ETF沽2015年4月2.30,510050.SH,ETF期权,认沽,欧式,2.3,10000,2015-04,2015/2/9,2015/4/22,2015-04-22,2015-04-23,0.1551,实物资产,退市
19,10000019,510050P1504M02350,50ETF沽2015年4月2.35,510050.SH,ETF期权,认沽,欧式,2.35,10000,2015-04,2015/2/9,2015/4/22,2015-04-22,2015-04-23,0.1823,实物资产,退市
20,10000020,510050P1504M02400,50ETF沽2015年4月2.40,510050.SH,ETF期权,认沽,欧式,2.4,10000,2015-04,2015/2/9,2015/4/22,2015-04-22,2015-04-23,0.2119,实物资产,退市
21,10000021,510050C1506M02200,50ETF购2015年6月2.20,510050.SH,ETF期权,认购,欧式,2.2,10000,2015-06,2015/2/9,2015/6/24,2015-06-24,2015-06-25,0.2815,实物资产,退市
22,10000022,510050C1506M02250,50ETF购2015年6月2.25,510050.SH,ETF期权,认购,欧式,2.25,10000,2015-06,2015/2/9,2015/6/24,2015-06-24,2015-06-25,0.2555,实物资产,退市
23,10000023,510050C1506M02300,50ETF购2015年6月2.30,510050.SH,ETF期权,认购,欧式,2.3,10000,2015-06,2015/2/9,2015/6/24,2015-06-24,2015-06-25,0.2314,实物资产,退市
24,10000024,510050C1506M02350,50ETF购2015年6月2.35,510050.SH,ETF期权,认购,欧式,2.35,10000,2015-06,2015/2/9,2015/6/24,2015-06-24,2015-06-25,0.2091,实物资产,退市
25,10000025,510050C1506M02400,50ETF购2015年6月2.40,510050.SH,ETF期权,认购,欧式,2.4,10000,2015-06,2015/2/9,2015/6/24,2015-06-24,2015-06-25,0.1885,实物资产,退市
26,10000026,510050P1506M02200,50ETF沽2015年6月2.20,510050.SH,ETF期权,认沽,欧式,2.2,10000,2015-06,2015/2/9,2015/6/24,2015-06-24,2015-06-25,0.156,实物资产,退市
27,10000027,510050P1506M02250,50ETF沽2015年6月2.25,510050.SH,ETF期权,认沽,欧式,2.25,10000,2015-06,2015/2/9,2015/6/24,2015-06-24,2015-06-25,0.1793,实物资产,退市
28,10000028,510050P1506M02300,50ETF沽2015年6月2.30,510050.SH,ETF期权,认沽,欧式,2.3,10000,2015-06,2015/2/9,2015/6/24,2015-06-24,2015-06-25,0.2044,实物资产,退市
29,10000029,510050P1506M02350,50ETF沽2015年6月2.35,510050.SH,ETF期权,认沽,欧式,2.35,10000,2015-06,2015/2/9,2015/6/24,2015-06-24,2015-06-25,0.2313,实物资产,退市
30,10000030,510050P1506M02400,50ETF沽2015年6月2.40,510050.SH,ETF期权,认沽,欧式,2.4,10000,2015-06,2015/2/9,2015/6/24,2015-06-24,2015-06-25,0.2599,实物资产,退市
