,time,code,OPEN,HIGH,LOW,CLOSE,PCT_CHG,VOLUME,AMT,FREE_TURN,rsi,close_deviation,min_volume,is_min
111745,2013-03-15,002653.SZ,17.88,19.38,17.8,18.7,5.64972,11159900.0,209438000.0,8.82737,19.6772125307,-0.433067046643,1962160.0,False
120213,2013-03-20,600794.SH,7.26,7.61,7.18,7.56,4.13223,10279600.0,76035700.0,2.40271,14.5850911225,-0.48288245152,3573260.0,False
138676,2013-04-01,002479.SZ,9.09,9.6,9.01,9.58,5.04386,11395100.0,107256000.0,2.56231,14.6556774391,-0.376667317327,3554260.0,False
141016,2013-04-02,002355.SZ,6.36,6.66,6.36,6.64,4.56693,5888540.0,38744900.0,1.58871,17.3549381672,-0.369719981016,896800.0,False
146022,2013-04-08,002433.SZ,15.0,15.9,14.71,15.85,5.17585,5232420.0,81772400.0,6.54053,14.0092138509,-0.439612501768,799769.0,False
147499,2013-04-08,601313.SH,6.71,7.34,6.61,7.29,5.49928,3498930.0,25092800.0,2.2341,7.66373802286,-0.420877025739,1099860.0,False
160610,2013-04-16,002236.SZ,32.45,34.48,32.45,33.8,4.09609,6880360.0,232820000.0,1.12693,5.08986339459,-0.483026284596,1212600.0,False
163074,2013-04-17,002236.SZ,34.1,37.18,34.1,37.18,10.0,12237800.0,442721000.0,2.00442,14.5256502469,-0.419706263364,1212600.0,False
163441,2013-04-17,002605.SZ,11.45,12.63,11.33,12.63,10.0174,4909760.0,59534200.0,8.83131,16.175906694,-0.456048925449,618488.0,False
163789,2013-04-17,300251.SZ,18.92,20.76,18.92,20.51,7.66404,16892600.0,338729000.0,12.2277,17.4218081293,-0.425723445659,3274840.0,False
165593,2013-04-18,002292.SZ,13.31,14.56,13.19,13.95,4.80841,8152280.0,113732000.0,2.55244,12.2516281893,-0.280389982203,645960.0,False
165662,2013-04-18,002361.SZ,5.7,6.2,5.63,6.01,4.34028,9813860.0,58905200.0,5.3777,12.2852631183,-0.470181161017,1655280.0,False
165802,2013-04-18,002501.SZ,12.2,13.25,12.08,13.01,5.515,15244000.0,197113000.0,7.53219,15.8874869733,-0.383952458745,2471460.0,False
165822,2013-04-18,002521.SZ,7.36,7.86,7.3,7.65,4.08163,9461040.0,72300100.0,3.64245,8.97496128947,-0.463797574823,867327.0,False
168741,2013-04-19,300275.SZ,13.46,14.19,13.43,14.19,5.42348,2734880.0,38075700.0,5.26789,2.33743214648,-0.480438643062,171557.0,False
169293,2013-04-19,600575.SH,3.78,4.08,3.78,4.08,9.97305,16238400.0,65881900.0,2.28195,6.41836499948,-0.456507259891,1071120.0,False
173379,2013-04-23,002687.SZ,9.89,11.14,9.89,11.04,8.98322,18259100.0,198812000.0,37.0367,19.784787909,-0.420442017954,271256.0,False
175810,2013-04-24,002654.SZ,8.51,9.32,8.27,9.28,9.56316,18313300.0,164072000.0,41.6212,15.1653053322,-0.393265773128,229939.0,False
176133,2013-04-24,300275.SZ,13.8,14.9,13.57,14.77,7.02899,3953820.0,56725300.0,7.61581,13.136542416,-0.411284054447,171557.0,False
185733,2013-05-03,300012.SZ,11.7,12.39,11.69,12.34,4.84282,2804700.0,33830200.0,1.60478,16.0434569577,-0.433516193449,351047.0,False
185990,2013-05-03,300270.SZ,20.67,21.39,19.85,21.31,4.15445,4978530.0,101276000.0,11.1627,15.8842455084,-0.489005587128,415759.0,False
187849,2013-05-06,002364.SZ,11.46,11.99,11.26,11.98,4.8119,6301530.0,73771300.0,8.09789,13.8394109446,-0.454835039818,587168.0,False
190330,2013-05-07,002379.SZ,5.94,6.56,5.83,6.56,10.0671,18006000.0,112407000.0,9.62579,17.5466081792,-0.409939284911,1396250.0,False
190490,2013-05-07,002540.SZ,7.81,8.47,7.77,8.47,8.4507,14175500.0,115313000.0,9.84312,17.6716131583,-0.419345993007,769230.0,False
193165,2013-05-08,300047.SZ,7.61,8.18,7.51,8.14,7.10526,16157000.0,127288000.0,8.77458,16.6885913683,-0.417030724056,577730.0,False
195650,2013-05-09,300068.SZ,7.81,8.44,7.74,8.16,4.34783,31521500.0,256123000.0,8.88601,16.8402885481,-0.409487281543,1356050.0,False
195802,2013-05-09,300220.SZ,14.3,15.49,14.3,15.32,7.13287,4250210.0,63908900.0,19.7612,18.8615420849,-0.378246753247,76910.0,False
197717,2013-05-10,002371.SZ,18.95,20.81,18.8,20.55,8.44327,4197590.0,83389400.0,1.50801,9.75600766092,-0.407439446367,253627.0,False
200192,2013-05-13,002381.SZ,9.75,10.25,9.6,10.17,4.20082,10497900.0,105546000.0,7.54363,7.16142658696,-0.457310565635,524019.0,False
200662,2013-05-13,300150.SZ,8.07,8.77,8.07,8.66,7.44417,8355680.0,71077200.0,5.58459,17.390632312,-0.42730549218,351400.0,False
205139,2013-05-15,002400.SZ,26.15,28.0,26.03,27.93,4.1387,4987550.0,135328000.0,1.51434,14.8271149769,-0.428951134737,662912.0,False
205167,2013-05-15,002428.SZ,14.52,15.33,14.52,15.25,4.73901,16703700.0,250480000.0,4.86653,15.2835244638,-0.408180689227,1822650.0,False
205510,2013-05-15,300070.SZ,35.0,38.23,34.8,37.1,5.21838,7960620.0,293079000.0,1.55201,18.7430700177,-0.291112151408,1273120.0,False
205843,2013-05-15,600066.SH,17.15,18.85,17.15,18.71,6.85323,10517900.0,189888000.0,1.56131,12.852819464,-0.349692398596,1571640.0,False
206952,2013-05-16,000638.SZ,4.22,4.22,4.22,4.22,9.89583,510934.0,2156140.0,0.165137,15.8493854056,-0.417649899952,510934.0,True
206970,2013-05-16,000671.SZ,9.97,10.95,9.72,10.95,10.0503,12233000.0,129772000.0,1.21191,17.9738678644,-0.399703963598,2112020.0,False
207602,2013-05-16,002400.SZ,27.68,30.47,27.35,29.49,5.58539,8764320.0,255571000.0,2.66106,19.8477039518,-0.389371460518,662912.0,False
207755,2013-05-16,002554.SZ,12.92,13.98,12.71,13.75,8.18253,23045300.0,313228000.0,13.0604,16.9346058144,-0.208359721343,4601320.0,False
208195,2013-05-16,300292.SZ,10.52,11.36,10.47,11.18,8.22846,10397800.0,116207000.0,33.4874,18.8597679591,-0.243188356744,797372.0,False
210046,2013-05-17,002381.SZ,9.94,10.58,9.85,10.4,5.69106,11980400.0,122468000.0,8.60896,17.0487493668,-0.396226415094,924135.0,False
211058,2013-05-17,600397.SH,5.79,6.34,5.75,6.34,10.0694,12692800.0,77841900.0,3.93372,7.05343452612,-0.432941281696,1240170.0,False
212450,2013-05-20,002322.SZ,13.6,14.61,13.53,14.49,6.07613,14522800.0,207459000.0,5.73306,19.000230052,-0.411681114111,2205180.0,False
212658,2013-05-20,002531.SZ,10.3,11.06,10.26,10.81,5.05345,14409500.0,152456000.0,11.7394,10.9469380114,-0.446634246225,828270.0,False
212961,2013-05-20,300132.SZ,7.94,8.25,7.94,8.24,4.0404,2200350.0,17804100.0,3.70189,13.8285568969,-0.32475620749,164599.0,False
215600,2013-05-21,300308.SZ,10.3,10.84,10.1,10.72,4.17881,5542360.0,57905900.0,13.2402,19.822452315,-0.34874396282,808583.0,False
216222,2013-05-21,600691.SH,10.92,11.76,10.82,11.45,4.66179,8253770.0,94202800.0,2.88697,12.8263359748,-0.528263019117,938681.0,False
218348,2013-05-22,600280.SH,24.95,26.91,24.95,26.91,10.0164,2105060.0,56317000.0,1.46651,16.3600585974,-0.353451382715,359379.0,False
218547,2013-05-22,600535.SH,39.21,41.98,39.21,40.23,4.00724,9121400.0,373702000.0,1.76627,9.21305145782,-0.464531714816,1529410.0,False
220085,2013-05-23,002569.SZ,8.9,9.6,8.86,9.49,6.62921,3360910.0,31135300.0,7.63605,18.1804501921,-0.259403777119,169200.0,False
